# Constructed from biom file
#OTU ID	SRR6374533	SRR6374534	SRR6374535	SRR6374536	SRR6374537	SRR6374538	SRR6374539	SRR6374540	SRR6374541	SRR6374542	SRR6374543	SRR6374544	SRR6374545	SRR6374546	SRR6374547
488a4e6bed79db8fb4b191073650b990	49.0	139.0	167.0	92.0	59.0	34.0	488.0	144.0	105.0	36.0	0.0	0.0	0.0	67.0	0.0
4ee7fcc2a4e4ab70bdc0468b075525df	80.0	321.0	392.0	111.0	38.0	7.0	121.0	180.0	40.0	51.0	0.0	0.0	0.0	0.0	8.0
33ca03438042206c1117e552de8e95a6	29.0	130.0	263.0	130.0	0.0	0.0	342.0	27.0	47.0	163.0	0.0	9.0	205.0	0.0	0.0
6d1586278301409d8fc52febff6a70a4	15.0	52.0	192.0	194.0	23.0	0.0	72.0	51.0	36.0	140.0	52.0	87.0	130.0	32.0	231.0
a415e8c26cc0545befc6e2ccc0890690	54.0	148.0	185.0	255.0	0.0	0.0	52.0	125.0	94.0	167.0	0.0	159.0	0.0	0.0	40.0
60613908dbc745f1478843d46a39bf69	25.0	19.0	20.0	20.0	17.0	0.0	38.0	0.0	14.0	159.0	62.0	479.0	97.0	197.0	129.0
986726db74d97a2c984375eecf6dc24a	21.0	139.0	215.0	47.0	0.0	0.0	281.0	153.0	407.0	0.0	0.0	0.0	10.0	0.0	0.0
0471cd8da49ddae69ec3a48d505364a7	155.0	0.0	406.0	361.0	0.0	0.0	34.0	23.0	0.0	10.0	28.0	51.0	127.0	17.0	52.0
b86df8c47c58c33a9ad075bdcf3f7cc0	15.0	190.0	226.0	143.0	93.0	0.0	101.0	172.0	54.0	95.0	0.0	0.0	172.0	0.0	0.0
3355b04996efcb55bf71f16b671f5e27	0.0	162.0	0.0	243.0	0.0	0.0	314.0	68.0	463.0	0.0	7.0	0.0	0.0	0.0	0.0
dc401412d183392ba0d15ef045f023b1	0.0	188.0	0.0	0.0	218.0	12.0	64.0	0.0	737.0	0.0	0.0	27.0	0.0	0.0	0.0
